country,pc_healthxp,pc_gdp,usd_cap,total_spend,inflation
AUS,12.712819999999999,0.93486,283.34068,6024.8258,5.1902894006241
AUT,11.875125,1.15078125,440.11593750000003,3703.7925,1.8580722942191643
BEL,16.72031914893617,1.2511489361702128,317.84217021276595,3414.1493617021274,3.5699604655136317
BGR,35.2813125,2.5546875,461.3480625,3317.996875,4.667771146807964
BRA,18.1792,1.6951999999999998,255.5038,52303.056,5.611791416777152
CAN,13.742603773584905,1.234622641509434,389.68426415094336,13014.184150943396,4.128504799562128
CHE,10.459333333333333,1.1261666666666665,652.6310833333333,5437.38,-0.11606515194871464
CHL,12.861333333333334,1.2183333333333333,315.9446666666667,6110.963333333333,6.3827552651413235
COL,15.5524,1.1488,161.38400000000001,7601.306,3.3749414867885
CRI,11.69118181818182,0.8878181818181818,161.4760909090909,781.4954545454547,3.345713523041107
CYP,18.126526315789473,1.170421052631579,380.02442105263157,447.1326315789474,1.5337569255607992
CZE,21.902032258064516,1.3980967741935484,360.09435483870965,3756.766451612903,5.498430303429535
DEU,14.439980392156862,1.3535686274509804,395.7103333333333,32272.73568627451,2.594138062668365
DNK,7.712813953488372,0.6876046511627907,218.33055813953487,1203.5672093023256,3.013888398873873
ESP,18.781394736842106,1.360157894736842,330.77555263157893,14643.916842105262,4.383199283642197
EST,19.777565217391306,1.1725652173913044,276.93547826086956,369.5291304347826,4.559416200513242
FIN,12.784076923076924,0.9561730769230768,247.06090384615385,1309.0715384615385,4.622471690485598
FRA,16.248,1.581388888888889,482.73155555555553,30830.014166666668,2.246681684566369
GBR,13.892111111111111,0.8503055555555555,179.93477777777778,11332.499166666666,7.238665905752264
GRC,22.814411764705884,1.864735294117647,446.33411764705886,4844.684117647059,5.106260752877945
HRV,22.845636363636363,1.609909090909091,396.9047272727273,1621.7800000000002,1.1099832218664483
HUN,29.56139285714286,2.10475,431.1691071428572,4300.093214285715,9.34884265379246
IRL,13.087808510638297,0.9434893617021277,293.15778723404253,1285.8293617021275,5.099065965930121
ISL,14.64043396226415,1.094754716981132,311.31392452830187,94.27792452830188,16.158911407385236
ISR,13.463,0.9456000000000001,304.6304666666667,2499.54,1.5141288840019167
ITA,19.645714285714288,1.5672857142857142,472.01797142857146,27656.74657142857,2.8294382760655163
JPN,19.800736842105263,1.5406315789473684,461.74899999999997,58463.64421052631,0.22903131774086855
KOR,22.360660377358492,0.9733396226415095,229.15624528301888,11339.445471698113,7.023123739169419
LTU,26.779611111111112,1.7172222222222222,451.1292222222222,1340.7094444444444,3.4610340744923977
LUX,12.78168888888889,0.6874888888888889,358.92704444444445,181.00755555555557,3.58602714117353
LVA,24.816444444444443,1.4982777777777778,345.2892777777778,695.7672222222222,4.5508329550818765
MEX,25.869565217391305,1.4507826086956523,230.7111304347826,26433.32956521739,5.879227492945659
MLT,18.173714285714286,1.6764285714285714,669.0481428571428,319.8542857142857,2.410671904779376
NLD,9.730392156862745,0.7752941176470588,246.499431372549,4015.6417647058825,3.005471982188565
NOR,8.565653846153847,0.629673076923077,221.53053846153847,1064.718846153846,5.190555671769863
NZL,12.966291666666665,0.8402916666666668,140.74025,515.1045833333334,7.321159891472185
POL,24.1025,1.50265,347.71909999999997,13205.2905,2.4051112115018993
PRT,20.915488888888888,1.5326222222222223,290.9244444444445,3005.014222222222,8.027363990914425
ROU,28.670263157894738,1.5049473684210526,310.4498947368421,6180.634210526316,7.7562931749895085
SVK,29.657,1.9699565217391304,461.524652173913,2495.924347826087,2.6055686115258334
SVN,19.40375,1.62245,475.11949999999996,974.4559999999999,2.3254756554173053
SWE,10.460576923076925,0.8528653846153846,258.30971153846156,2411.271153846154,4.629404900096308
TUR,17.716272727272727,0.5088181818181817,35.171727272727274,2129.413636363636,48.73516765888463
USA,11.030514285714284,1.5977142857142859,730.0734285714285,223061.2865714286,2.1806215737211496
