year,inflation,total_spend
1970,7.880684898257889,772.0172727272728
1971,8.143761767788062,658.0063636363636
1972,8.460345665058785,755.2790909090909
1973,11.143920129225876,832.1163636363636
1974,17.321309022695413,952.0354545454545
1975,16.63051754356875,1205.05
1976,14.241431695262595,911.8192857142858
1977,11.70634147294507,992.61
1978,12.084092917383396,1120.5114285714285
1979,11.941160028359098,1238.9378571428572
1980,13.92293272783866,2220.4268421052634
1981,15.124025808293291,1451.7294444444442
1982,13.507852032322711,1554.621666666667
1983,12.972543029507108,1668.6905555555556
1984,9.972426667365372,2604.8694736842103
1985,9.51621314582876,3120.3605
1986,8.152915133836887,3036.298947368421
1987,6.5299198107104415,5284.879
1988,6.393557941417957,6219.921428571428
1989,6.8566100397771255,6863.993333333334
1990,8.159458448118814,7285.764999999999
1991,7.687630099585648,7135.987826086956
1992,4.800131530770218,8624.547826086957
1993,4.828115932556625,8976.752608695651
1994,7.920709228219778,8781.598399999999
1995,4.547387646883695,9468.7744
1996,3.437721835753949,10184.037199999999
1997,3.2398226054483676,10809.265833333333
1998,2.3034626127760456,12914.181428571428
1999,5.025692234490551,13152.963333333333
2000,5.481722401329566,14455.9196
2001,3.8426538744763974,15867.8904
2002,3.0006650230684944,16617.357037037036
2003,3.333791391091766,16343.599677419354
2004,3.4908204288203017,15950.998235294119
2005,3.4006917850261504,16868.673529411764
2006,3.756168613620382,17518.282
2007,4.469456466235098,18444.627714285714
2008,4.578144031625723,19682.880588235294
2009,1.2302001154884938,21063.496666666666
2010,1.5725580486178046,20927.842352941178
2011,2.2766573829006953,20237.352777777778
2012,1.9395942960825419,20071.408108108106
2013,1.3236316951523608,20478.863589743592
2014,1.3886641343312596,20984.4025
2015,1.7088349295461291,22900.98268292683
2016,1.2739491723866225,23303.96804878049
2017,2.1281199662290864,23692.701707317072
2018,2.317431838586928,24753.891
2019,2.3462113021380833,25347.205365853657
2020,2.169128748023293,25376.638499999997
2021,3.9490933475147623,26374.76111111111
2022,6.044397937575147,18955.230000000003
